"","freq","spec","lower","upper","data_type"
"1",0.01,1.51238549465103,0.99474101648593,2.14248832710548,"MXD"
"2",0.01,0.523534897814002,0.489272691343236,0.56269811602247,"TRW"
"3",0.011,1.19885498496497,0.848621394875133,1.72991962518597,"MXD"
"4",0.011,0.468914881582557,0.438008233177483,0.503324846134133,"TRW"
"5",0.012,0.900400762912213,0.614555092825601,1.26089573441743,"MXD"
"6",0.012,0.445251078303216,0.416960160821791,0.474929714481591,"TRW"
"7",0.013,0.667027361970578,0.466600434036432,0.919956295785974,"MXD"
"8",0.013,0.428463385257968,0.402519306135246,0.45489616989,"TRW"
"9",0.014,0.520141017784687,0.355237763459006,0.734323432010454,"MXD"
"10",0.014,0.416069487126896,0.392431675234575,0.44081797494816,"TRW"
"11",0.015,0.42981730190766,0.278399271427636,0.593957862477495,"MXD"
"12",0.015,0.407061641260304,0.383954269113118,0.430636401568365,"TRW"
"13",0.016,0.367802874037123,0.240686038188162,0.516275428824071,"MXD"
"14",0.016,0.400337545672707,0.378706322985267,0.423752156514558,"TRW"
"15",0.017,0.317985479188204,0.212382267795614,0.4282457881789,"MXD"
"16",0.017,0.396798704257214,0.376065123679575,0.418656284792461,"TRW"
"17",0.018,0.276042237587148,0.187589360879383,0.372384246285251,"MXD"
"18",0.018,0.394279305229899,0.373965906444638,0.414736907498449,"TRW"
"19",0.019,0.242625921565058,0.166999162287416,0.326600425547653,"MXD"
"20",0.019,0.391353723834016,0.370688078560289,0.411616983636738,"TRW"
"21",0.02,0.217917892823558,0.148041816052996,0.2941809848959,"MXD"
"22",0.02,0.388737286739703,0.369581369671925,0.407420958415633,"TRW"
"23",0.021,0.201647459766109,0.137574378377569,0.271392825651624,"MXD"
"24",0.021,0.383982666943157,0.366176790795164,0.402917273892249,"TRW"
"25",0.022,0.193124171032775,0.136880715633656,0.258068308566412,"MXD"
"26",0.022,0.378369822940554,0.361289612373129,0.396366626250503,"TRW"
"27",0.023,0.191286803988158,0.138793685911257,0.252857781114312,"MXD"
"28",0.023,0.371893725161171,0.355659417398153,0.389178397234421,"TRW"
"29",0.024,0.194791198989701,0.141670887343878,0.253753038907295,"MXD"
"30",0.024,0.365075773624373,0.349233227798732,0.382304179306077,"TRW"
"31",0.025,0.202150947914314,0.14697199049859,0.258887069713251,"MXD"
"32",0.025,0.358986321277146,0.34278751993925,0.375795438985991,"TRW"
"33",0.026,0.211901640799227,0.154389609967618,0.273243091810063,"MXD"
"34",0.026,0.353338217757704,0.337811639678108,0.36923840217943,"TRW"
"35",0.027,0.22270249440957,0.162707829488018,0.282540474739763,"MXD"
"36",0.027,0.348657570109464,0.33340151471992,0.36368395660105,"TRW"
"37",0.028,0.233450222355338,0.173239679892783,0.29638834153026,"MXD"
"38",0.028,0.344074057261724,0.329536742461496,0.358283253740678,"TRW"
"39",0.029,0.243360292181914,0.178778075627376,0.308980347880851,"MXD"
"40",0.029,0.339500724979949,0.325536303942805,0.353794366095234,"TRW"
"41",0.03,0.251990112868524,0.183170422681071,0.320384284401256,"MXD"
"42",0.03,0.334353525035329,0.32103734786662,0.348295989260408,"TRW"
"43",0.031,0.259222369172101,0.187502978378947,0.328837048377705,"MXD"
"44",0.031,0.328224629031102,0.315672104487325,0.340655507031201,"TRW"
"45",0.032,0.265200259443086,0.188109078487342,0.332561962831887,"MXD"
"46",0.032,0.321649835215527,0.310218507805698,0.333605194409178,"TRW"
"47",0.033,0.270227583849901,0.189605023341709,0.342703374580421,"MXD"
"48",0.033,0.314441941194838,0.303473530760151,0.325478232189338,"TRW"
"49",0.034,0.274658216308803,0.196764511882885,0.350276836300437,"MXD"
"50",0.034,0.306905509141495,0.295465945143516,0.317821400823367,"TRW"
"51",0.035,0.278808554908519,0.200300266358917,0.35307556835325,"MXD"
"52",0.035,0.299892243386839,0.288590202445908,0.311702928242001,"TRW"
"53",0.036,0.282887634487134,0.204265337103245,0.361014665705172,"MXD"
"54",0.036,0.292473657460374,0.281534802116943,0.304371294188292,"TRW"
"55",0.037,0.286953437853977,0.209556424144724,0.367096570282265,"MXD"
"56",0.037,0.285270511227508,0.275205545236999,0.296690003241557,"TRW"
"57",0.038,0.290903579220663,0.215990447331141,0.371255036006493,"MXD"
"58",0.038,0.278309897188166,0.268910859723855,0.288907280652962,"TRW"
"59",0.039,0.294493583556633,0.222533881805337,0.377969279308317,"MXD"
"60",0.039,0.270201091967123,0.261308004726626,0.279949151290553,"TRW"
"61",0.04,0.297377609895216,0.226082447290528,0.383807769973701,"MXD"
"62",0.04,0.262072664789228,0.254261252469137,0.271014829465788,"TRW"
"63",0.041,0.299159215111927,0.224770689714081,0.388544813493773,"MXD"
"64",0.041,0.252812681285503,0.245136749956817,0.260952961895059,"TRW"
"65",0.042,0.299448242388568,0.220990968859166,0.391493817476179,"MXD"
"66",0.042,0.243584735154628,0.236110888914122,0.251863920510504,"TRW"
"67",0.043,0.297913731674298,0.21821121254556,0.391845148227659,"MXD"
"68",0.043,0.234058477121345,0.22727140379948,0.241828786848173,"TRW"
"69",0.044,0.29432559555715,0.214793255578281,0.385225957112933,"MXD"
"70",0.044,0.224706961557821,0.218219339453678,0.232334380903012,"TRW"
"71",0.045,0.288578910812004,0.211484759471355,0.379150435810362,"MXD"
"72",0.045,0.215594273589502,0.209211947621113,0.222247459484576,"TRW"
"73",0.046,0.280704586745843,0.206299048734946,0.370940820165117,"MXD"
"74",0.046,0.206870097858423,0.200593468213253,0.21330298971658,"TRW"
"75",0.047,0.270854973002758,0.200904114903382,0.359476044816957,"MXD"
"76",0.047,0.19860542089751,0.192561096095399,0.204861795979912,"TRW"
"77",0.048,0.259283953838757,0.194313543353103,0.342700052818768,"MXD"
"78",0.048,0.19070304168178,0.185167171053939,0.196831078596536,"TRW"
"79",0.049,0.246325156165958,0.184571131903258,0.326016984254233,"MXD"
"80",0.049,0.183860156568049,0.178612487521109,0.189920502767261,"TRW"
"81",0.05,0.232361561643453,0.174278152486987,0.306310000804967,"MXD"
"82",0.05,0.17725377118715,0.172334747097202,0.182947662274509,"TRW"
"83",0.051,0.217802544313195,0.16338819869201,0.283660863268338,"MXD"
"84",0.051,0.171743415266206,0.167173027427911,0.177293060097412,"TRW"
"85",0.052,0.203068023476821,0.152940150531127,0.261744983357141,"MXD"
"86",0.052,0.166666722760982,0.162251346535297,0.172040306926656,"TRW"
"87",0.053,0.188564898971104,0.14458750511585,0.242073423413821,"MXD"
